OBJECTID,CODIGO,NOMBRE,IDENTIFICACION,LIMITEMUNICIPIOID,SUBTIPO_COMUNACORREGIMIENTO,LINK_DOCUMENTO,SHAPEAREA,SHAPELEN
321,01,Popular,Comuna 1,001,1,,3098289.60257159,9604.98782637104
322,02,Santa Cruz,Comuna 2,001,1,,2195874.52580248,8597.71444874618
323,03,Manrique,Comuna 3,001,1,,5096746.29132065,12078.2371083362
324,04,Aranjuez,Comuna 4,001,1,,4883731.20686567,9643.08926478059
325,05,Castilla,Comuna 5,001,1,,6064367.05380115,16098.6148980444
326,06,Doce de Octubre,Comuna 6,001,1,,3850036.05918428,10710.1520858043
327,07,Robledo,Comuna 7,001,1,,9462363.04602979,23265.6160020078
328,08,Villa Hermosa,Comuna 8,001,1,,5717609.03964299,16393.8105896688
329,09,Buenos Aires,Comuna 9,001,1,,6053264.68134539,18365.8491301136
330,10,La Candelaria,Comuna 10,001,1,,7361363.50293251,13633.2252937284
331,11,Laureles Estadio,Comuna 11,001,1,,7402954.32201397,16365.4547977286
332,12,La América,Comuna 12,001,1,,3973373.78306121,15425.6270667298
333,13,San Javier,Comuna 13,001,1,,4849268.18038117,26384.2476873932
334,14,El Poblado,Comuna 14,001,1,,14415437.12314,19966.4843646612
335,16,Belén,Comuna 16,001,1,,8856463.5337702,25695.2996119177
336,50,Corregimiento de San Sebastián de Palmitas,Corregimiento 50,001,2,,57792677.6465469,38396.9723563248
337,60,Corregimiento de San Cristóbal,Corregimiento 60,001,2,,54110838.8305378,51162.1006674631
338,70,Corregimiento de Altavista,Corregimiento 70,001,2,,28724940.7907202,35012.2594355688
339,90,Corregimiento de Santa Elena,Corregimiento 90,001,2,,74125634.0653119,66531.9004737021
340,SN02,,,,2,,74288.869774965,3897.89399733985
341,80,Corregimiento de San Antonio de Prado,Corregimiento 80,001,2,,60562380.2918547,40470.5258191861
342,SN01,,,,1,,439151.304331885,10025.6736458953
343,15,Guayabal,Comuna 15,001,1,,7288757.6399733,13279.5403320407
